,0
0,(11338.24323007366+0j)
1,(6263.254631965204+0j)
2,(2764.4833171347163+0j)
3,(2390.905682621637+0j)
4,(2224.35284206845+0j)
5,(1951.3390294347512+0j)
6,(1670.0620144112356+0j)
7,(1522.122542817052+0j)
8,(1240.9764337398235+0j)
9,(970.6787729391433+0j)
10,(849.9973490888942+0j)
11,(682.7314283344144+0j)
12,(625.1407792793128+0j)
13,(451.6861141928217+0j)
14,(425.31091364134704+0j)
15,(406.0049753622618+0j)
16,(306.4513390246103+0j)
17,(292.9228565415035+0j)
18,(238.0794867658122+0j)
19,(235.5518523515317+0j)
20,(231.60751816647232+0j)
21,(227.55003508512766+0j)
22,(209.23548025112186+0j)
23,(196.06535416522593+0j)
24,(186.355815810566+0j)
25,(177.56405753919373+0j)
26,(173.97396891330948+0j)
27,(156.00622797149384+0j)
28,(147.46110846493278+0j)
29,(143.61390973351766+0j)
30,(130.7398111731685+0j)
31,(126.86202469366157+0j)
32,(114.80961441605089+0j)
33,(113.34896138056484+0j)
34,(111.78454470594943+0j)
35,(111.06190527873167+0j)
36,(109.01503904839757+0j)
37,(104.46081866246345+0j)
38,(103.34045215906724+0j)
39,(98.39058316026718+0j)
40,(96.0659879235472+0j)
41,(93.75588041471501+0j)
42,(92.20780267701925+0j)
43,(90.60835254817411+0j)
44,(89.74451476713945+0j)
45,(88.38766618721561+0j)
46,(87.99563408916764+0j)
47,(87.48355167957251+0j)
48,(86.79104454757794+0j)
49,(85.84558789360649+0j)
50,(82.46751003762921+0j)
51,(80.6239106061522+0j)
52,(78.96963467695844+0j)
53,(77.16784589924305+0j)
54,(76.08999783247917+0j)
55,(75.29762094683629+0j)
56,(74.17928710318573+0j)
57,(73.46408620146207+0j)
58,(72.44448067167941+0j)
59,(71.46385582827241+0j)
60,(69.95189910942055+0j)
61,(68.91339348938746+0j)
62,(68.1538800571904+0j)
63,(65.55408289199443+0j)
64,(63.29285301250143+0j)
65,(62.7607515132343+0j)
66,(61.81852872082804+0j)
67,(61.06729168323683+0j)
68,(59.55099194371979+0j)
69,(58.60733348143639+0j)
70,(58.50599926226304+0j)
71,(57.199779017356455+0j)
72,(54.78939539375854+0j)
73,(54.21574234901154+0j)
74,(53.83462323408599+0j)
75,(53.78358379616147+0j)
76,(52.925687923712324+0j)
77,(52.76519017931762+0j)
78,(52.28054523576734+0j)
79,(52.13361922494001+0j)
80,(51.52184367353298+0j)
81,(50.99677537675991+0j)
82,(49.52610539925462+0j)
83,(48.8525171882352+0j)
84,(48.55572340017792+0j)
85,(48.024183202621025+0j)
86,(47.39627412751079+0j)
87,(47.28192866569113+0j)
88,(46.958168932648825+0j)
89,(45.96289609601702+0j)
90,(45.87578563135653+0j)
91,(45.67468785045885+0j)
92,(45.41445999357142+0j)
93,(44.62180860830202+0j)
94,(43.979932481186594+0j)
95,(43.93341067323526+0j)
96,(43.88752663959697+0j)
97,(43.42235236333615+0j)
98,(43.1579882802808+0j)
99,(42.475030462227906+0j)
100,(42.091010242375624+0j)
101,(42.026244574234646+0j)
102,(41.80227488041946+0j)
103,(41.574841128606586+0j)
104,(41.347432435543396+0j)
105,(41.206874358352906+0j)
106,(40.741471803149416+0j)
107,(40.408116143010275+0j)
108,(40.17097773134313+0j)
109,(39.626448312500976+0j)
110,(39.30935776084006+0j)
111,(38.36092134324843+0j)
112,(38.25955237048516+0j)
113,(38.16665052420773+0j)
114,(37.586888590004364+0j)
115,(37.45902959639005+0j)
116,(37.44432134487083+0j)
117,(37.274886341166116+0j)
118,(37.10463561146739+0j)
119,(37.047836125907175+0j)
120,(36.66229435897054+0j)
121,(36.232843911018435+0j)
122,(36.033187602410145+0j)
123,(35.35443206265942+0j)
124,(35.01976719930005+0j)
125,(34.621580754122526+0j)
126,(34.27795560214343+0j)
127,(34.127979463908034+0j)
128,(33.774429936359745+0j)
129,(33.58746148600218+0j)
130,(33.520634294799045+0j)
131,(33.185780021769574+0j)
132,(32.934767056244226+0j)
133,(32.58090390016394+0j)
134,(32.47606805100057+0j)
135,(32.16885062531949+0j)
136,(31.840764194661578+0j)
137,(31.517582800744712+0j)
138,(31.237948285979247+0j)
139,(31.22893134863832+0j)
140,(31.155402483077655+0j)
141,(30.98941141088753+0j)
142,(30.62130507014141+0j)
143,(30.262766795480985+0j)
144,(30.119994777317366+0j)
145,(29.892360635932835+0j)
146,(29.82207272833716+0j)
147,(29.647561761079444+0j)
148,(29.14597399429261+0j)
149,(29.071780314381712+0j)
150,(28.963111848394686+0j)
151,(28.871191191062042+0j)
152,(28.79769348500238+0j)
153,(28.640736360207317+0j)
154,(28.50048089878379+0j)
155,(28.399582099794824+0j)
156,(28.304541656685757+0j)
157,(28.172654942858195+0j)
158,(28.138768984182356+0j)
159,(27.94737071386063+0j)
160,(27.755747665858387+0j)
161,(27.54590736856698+0j)
162,(27.35144602791284+0j)
163,(27.19123926304504+0j)
164,(27.121718623000735+0j)
165,(26.916737312729317+0j)
166,(26.758137785948428+0j)
167,(26.67344128541941+0j)
168,(26.456372319466738+0j)
169,(26.347845618519777+0j)
170,(26.206978914837276+0j)
171,(26.11496143101879+0j)
172,(26.06495233344336+0j)
173,(25.974431843277966+0j)
174,(25.757690430622574+0j)
175,(25.73206487878685+0j)
176,(25.258300613138445+0j)
177,(25.18515501763275+0j)
178,(25.05276518117915+0j)
179,(24.89110021148832+0j)
180,(24.828232943145323+0j)
181,(24.674714245486005+0j)
182,(24.4772913516882+0j)
183,(24.372848987107094+0j)
184,(24.31054717082908+0j)
185,(24.18399173972977+0j)
186,(24.08525227507491+0j)
187,(23.97292337881317+0j)
188,(23.920073334701073+0j)
189,(23.850417807010388+0j)
190,(23.816421433633792+0j)
